feature,importance
jobType_JANITOR,0.21828490267925496
yearsExperience,0.1867190114449857
milesFromMetropolis,0.12977187921157043
major_NONE,0.08562541642550546
jobType_JUNIOR,0.0747635323482968
jobType_CEO,0.04849362297988761
jobType_SENIOR,0.040218987146985796
industry_FINANCE,0.028979172462226706
industry_EDUCATION,0.028568660279782655
industry_OIL,0.025233954114165468
jobType_CFO,0.02334496878358845
jobType_CTO,0.0205937597619271
industry_SERVICE,0.01582792260102657
degree_DOCTORAL,0.014033476048637939
industry_WEB,0.009881523233225522
jobType_MANAGER,0.009699337975997752
degree_NONE,0.006505494642255676
major_ENGINEERING,0.005839066730511031
industry_AUTO,0.0053628754733105865
degree_MASTERS,0.004338331303950454
major_BUSINESS,0.004247575482088516
jobType_VICE_PRESIDENT,0.0042090425560947645
industry_HEALTH,0.00264974917593571
major_LITERATURE,0.0023014714617812277
major_MATH,0.0013213383266448655
degree_HIGH_SCHOOL,0.0009481618514029339
major_BIOLOGY,0.0006751410426672492
major_CHEMISTRY,0.0006698854435914469
major_PHYSICS,0.0003286640211021761
degree_BACHELORS,0.0002850137413505735
major_COMPSCI,7.292759024130055e-05
companyId_COMP36,8.977280392841284e-06
companyId_COMP13,8.286427355608107e-06
companyId_COMP46,7.843429659318242e-06
companyId_COMP9,7.501134878180021e-06
companyId_COMP24,6.001546903251823e-06
companyId_COMP34,5.954550601356656e-06
companyId_COMP56,5.771410764299093e-06
companyId_COMP30,5.568066503865579e-06
companyId_COMP62,5.387795531498546e-06
companyId_COMP21,5.295029977082084e-06
companyId_COMP26,5.050009762980226e-06
companyId_COMP61,4.966779131074853e-06
companyId_COMP60,4.892852678726299e-06
companyId_COMP42,4.858598042841805e-06
companyId_COMP48,4.7940716463922815e-06
companyId_COMP38,4.679292100738453e-06
companyId_COMP44,4.6709104666248e-06
companyId_COMP15,4.329418324805085e-06
companyId_COMP20,4.32680713481034e-06
companyId_COMP17,4.1440819742151175e-06
companyId_COMP53,4.0675395319574665e-06
companyId_COMP1,4.024982091339385e-06
companyId_COMP12,3.828480168601933e-06
companyId_COMP47,3.5938868152055424e-06
companyId_COMP57,3.586405233405339e-06
companyId_COMP10,3.4808957828785775e-06
companyId_COMP11,3.299335729060812e-06
companyId_COMP55,3.215199960683651e-06
companyId_COMP31,3.1947681285971636e-06
companyId_COMP28,3.194010673566488e-06
companyId_COMP4,3.141542740993053e-06
companyId_COMP2,3.0932362568352563e-06
companyId_COMP18,2.9809125283647623e-06
companyId_COMP6,2.7499508688687526e-06
companyId_COMP59,2.7040592733836844e-06
companyId_COMP52,2.664070581268364e-06
companyId_COMP58,2.63070182869266e-06
companyId_COMP32,2.578612949887258e-06
companyId_COMP16,2.540713770539408e-06
companyId_COMP22,2.3570084496799634e-06
companyId_COMP33,2.311830055810968e-06
companyId_COMP39,2.1411113235117182e-06
companyId_COMP27,2.0144297866474987e-06
companyId_COMP23,2.0140882755372927e-06
companyId_COMP19,1.9740685569655296e-06
companyId_COMP35,1.9005248500449586e-06
companyId_COMP49,1.7962437995346218e-06
companyId_COMP54,1.761780441529085e-06
companyId_COMP14,1.7250389351641877e-06
companyId_COMP8,1.633656917005479e-06
companyId_COMP41,1.2719521116737701e-06
companyId_COMP43,1.1425891309589932e-06
companyId_COMP37,1.046826064578298e-06
companyId_COMP29,1.0410534259411853e-06
companyId_COMP5,1.0401018861341815e-06
companyId_COMP45,1.0320739985430584e-06
companyId_COMP51,9.327549485776983e-07
companyId_COMP50,8.156325965148616e-07
companyId_COMP3,7.45805376930995e-07
companyId_COMP40,3.734088867329581e-07
companyId_COMP7,1.9288144402825902e-07
companyId_COMP25,0.0
companyId_COMP0,0.0
